label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,0.0,0.0,-0.42214236559013624,-0.22651541568251213,-0.7207308680807204,-0.5971770049811683,-0.8236924206636804,-0.9884309047964165,-0.8957655074717525,-1.2973155625452968,-0.5868808497228724,-0.9369501285049365,-0.5765846944645763,-1.1531693889291526,-0.4633269866233202,-0.8648770416968645,-0.40155005507354424,-0.6280654707560563,-0.28829234723228814,-0.9575424390215285,-0.28829234723228814,-1.1737616994457447,-0.22651541568251213,-0.8031001101470885,-0.2059231051659201,-0.5765846944645763,-0.010296155258296006,-0.9266539732466404,-0.02059231051659201,-1.1119847678959687,-0.030888465774888015,-0.7516193338556084,-0.05148077629148003,-0.5354000734313923,0.24710772619910412,-0.8442847311802725,0.22651541568251213,-1.0090232153130085,0.1750346393910321,-0.7619154891139044,0.13385001835784807,-0.6177693154977604
A,0.0,0.0,-0.4214029735878992,-0.2528417841527395,-0.7374552037788236,-0.6215693860421513,-0.8638760958551933,-1.032437285290353,-0.9270865418933781,-1.3274193668018823,-0.5899641630230589,-0.9481566905727731,-0.6004992373627563,-1.1799283260461177,-0.49514849396578153,-0.8638760958551933,-0.44247312226729413,-0.6215693860421513,-0.2844470071718319,-0.9586917649124705,-0.3160522301909244,-1.2115335490652102,-0.2528417841527395,-0.8112007241567059,-0.24230670981304203,-0.5899641630230589,-0.010535074339697479,-0.9270865418933781,-0.03160522301909244,-1.1483231030270251,-0.042140297358789915,-0.769060426797916,-0.07374552037788236,-0.5478238656642689,0.2528417841527395,-0.8322708728361008,0.23177163547334453,-1.032437285290353,0.17909626377485716,-0.7795955011376134,0.13695596641606722,-0.6321044603818488
A,0.0,0.0,-0.4238563031629563,-0.24371737431869986,-0.7311521229560995,-0.6251880471653605,-0.8371161987468386,-1.017255127591095,-0.8900982366422082,-1.3245509473842383,-0.5510131941118431,-0.9642730896957256,-0.5933988244281388,-1.1762012412772036,-0.4874347486373997,-0.8689054214840604,-0.40266348800480845,-0.6251880471653605,-0.2649101894768477,-0.9642730896957256,-0.3072958197931433,-1.1973940564353516,-0.23312096673962596,-0.8159233835886909,-0.19073533642333032,-0.572206009269991,0.021192815158147815,-0.9324838669585038,-0.021192815158147815,-1.133815610960908,-0.010596407579073907,-0.7629413456933213,-0.021192815158147815,-0.5404167865327693,0.2861030046349955,-0.8477126063259126,0.25431378189777376,-1.0490443503283169,0.21192815158147815,-0.8053269760096169,0.18013892884425642,-0.6463808623235083
A,0.0,0.0,-0.4175244275063076,-0.22482084558031948,-0.7279913094981774,-0.6316395185351833,-0.8350488550126152,-1.0170466823871596,-0.8992833823212779,-1.338219318930473,-0.5674049912265205,-0.9528121550784968,-0.5781107457779643,-1.18833875521026,-0.4710532002635265,-0.8778718732183903,-0.39611291840342,-0.6316395185351833,-0.2676438637860946,-0.9635179096299405,-0.2783496183375384,-1.2097502643131477,-0.22482084558031948,-0.8136373459097276,-0.1927035819259881,-0.5781107457779643,0.02141150910288757,-0.942106400527053,0.0,-1.1562214915559286,0.0,-0.7601085731525087,-0.03211726365433135,-0.5352877275721892,0.28905537288898214,-0.8564603641155027,0.2676438637860946,-1.0277524369386033,0.2141150910288757,-0.7494028186010648,0.18199782737454434,-0.5995222548808519
A,0.0,0.0,-0.44247312226729413,-0.24230670981304203,-0.7374552037788236,-0.6321044603818488,-0.8533410215154958,-1.032437285290353,-0.9165514675536807,-1.3484895154812773,-0.5794290886833613,-0.9481566905727731,-0.6004992373627563,-1.1799283260461177,-0.48461341962608406,-0.8849462445345883,-0.41086789924820166,-0.6426395347215462,-0.2844470071718319,-0.9586917649124705,-0.3160522301909244,-1.2115335490652102,-0.2528417841527395,-0.8217357984964033,-0.22123656113364706,-0.5899641630230589,0.0,-0.9270865418933781,-0.03160522301909244,-1.1483231030270251,-0.042140297358789915,-0.769060426797916,-0.06321044603818488,-0.5372887913245714,0.26337685849243697,-0.8533410215154958,0.22123656113364706,-1.0429723596300504,0.17909626377485716,-0.7795955011376134,0.14749104075576472,-0.6321044603818488
A,0.0,0.0,-0.4245799059243682,-0.24853457907767892,-0.7145369148483269,-0.6316920551557673,-0.8077373820024565,-1.0148495312338557,-0.8802266342334462,-1.3151621476193842,-0.5695584103863476,-0.9527158864644358,-0.5695584103863476,-1.159828035695835,-0.466002335770648,-0.8698710267718762,-0.3935130835396583,-0.6316920551557673,-0.2692457940008188,-0.9630714939260059,-0.3003126163855287,-1.180539250618975,-0.24853457907767892,-0.8180929894640264,-0.21746775669296906,-0.5902696253094875,0.010355607461569955,-0.932004671541296,-0.02071121492313991,-1.1391168207726952,-0.04142242984627982,-0.7663149521561767,-0.06213364476941973,-0.5488471954632076,0.2692457940008188,-0.8491598118487363,0.22782336415453902,-1.0355607461569956,0.16568971938511928,-0.7766705596177467,0.12426728953883946,-0.6213364476941973
A,0.0,0.0,-0.4245799059243682,-0.24853457907767892,-0.7145369148483269,-0.6316920551557673,-0.8077373820024565,-1.0148495312338557,-0.8802266342334462,-1.3151621476193842,-0.5695584103863476,-0.9527158864644358,-0.5695584103863476,-1.159828035695835,-0.466002335770648,-0.8698710267718762,-0.3935130835396583,-0.6316920551557673,-0.2692457940008188,-0.9630714939260059,-0.3003126163855287,-1.180539250618975,-0.24853457907767892,-0.8180929894640264,-0.21746775669296906,-0.5902696253094875,0.010355607461569955,-0.932004671541296,-0.02071121492313991,-1.1391168207726952,-0.04142242984627982,-0.7663149521561767,-0.06213364476941973,-0.5488471954632076,0.2692457940008188,-0.8491598118487363,0.22782336415453902,-1.0355607461569956,0.16568971938511928,-0.7766705596177467,0.12426728953883946,-0.6213364476941973
A,0.0,0.0,-0.4421915032864045,-0.22648833095157303,-0.7549611031719101,-0.6255391997710112,-0.8735978479560674,-1.0138049099737079,-0.9275236410397752,-1.337359668475955,-0.5931837239207866,-0.9598791168899999,-0.6147540411542697,-1.1971526064583147,-0.5069024549868539,-0.884383006572809,-0.43140634466966293,-0.6147540411542697,-0.2804141240352809,-0.9598791168899999,-0.3235547585022472,-1.2187229236917978,-0.24805864818505619,-0.8196720548723595,-0.21570317233483147,-0.5716134066873033,0.010785158616741572,-0.9383087996565168,-0.021570317233483145,-1.1432268133746066,-0.03235547585022472,-0.7441759445551686,-0.04314063446696629,-0.5176876136035955,0.2696289654185393,-0.8520275307225842,0.2372734895683146,-1.0138049099737079,0.18334769648460675,-0.733390785938427,0.15099222063438203,-0.5716134066873033
A,0.0,0.0,-0.4421915032864045,-0.22648833095157303,-0.7549611031719101,-0.6255391997710112,-0.8735978479560674,-1.0138049099737079,-0.9275236410397752,-1.337359668475955,-0.5931837239207866,-0.9598791168899999,-0.6147540411542697,-1.1971526064583147,-0.5069024549868539,-0.884383006572809,-0.43140634466966293,-0.6147540411542697,-0.2804141240352809,-0.9598791168899999,-0.3235547585022472,-1.2187229236917978,-0.24805864818505619,-0.8196720548723595,-0.21570317233483147,-0.5716134066873033,0.010785158616741572,-0.9383087996565168,-0.021570317233483145,-1.1432268133746066,-0.03235547585022472,-0.7441759445551686,-0.04314063446696629,-0.5176876136035955,0.2696289654185393,-0.8520275307225842,0.2372734895683146,-1.0138049099737079,0.18334769648460675,-0.733390785938427,0.15099222063438203,-0.5716134066873033
A,0.0,0.0,-0.43893593660919517,-0.23552660013176324,-0.7386970640496211,-0.6316395185351833,-0.8457546095640589,-1.0170466823871596,-0.8992833823212779,-1.3275135643790292,-0.5781107457779643,-0.9528121550784968,-0.5781107457779643,-1.1562214915559286,-0.4710532002635265,-0.8564603641155027,-0.4068186729548638,-0.6102280094322957,-0.2676438637860946,-0.9635179096299405,-0.28905537288898214,-1.18833875521026,-0.23552660013176324,-0.8136373459097276,-0.2141150910288757,-0.5781107457779643,0.02141150910288757,-0.9314006459756092,-0.010705754551443784,-1.134809982453041,-0.02141150910288757,-0.7601085731525087,-0.04282301820577514,-0.5352877275721892,0.28905537288898214,-0.8457546095640589,0.24623235468320703,-1.0170466823871596,0.1927035819259881,-0.7601085731525087,0.16058631827165676,-0.5995222548808519
